Site (Name or ID),LATITUDE,LONGITUDE
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.92315,145.993133
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.923067,145.996083
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16054S,-16.92195,145.999317
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.0474,145.649967
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.042633,145.65455
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
16015S,-16.04495,145.65245
