survey_title,HC,OT,A,AB,SC,SP,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_BA2D_P4_202205_42,56.47619048,0.095238095,37.14285714,1.142857143,4.80952381,0.333333333,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,4,CB,84872,17885,202205
CBHE_BA2D_P4_202305_42,59.76190476,0.095238095,35.19047619,1.0,3.476190476,0.476190476,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,D,-23.44764618,151.9578134,4,CB,86216,17885,202305
CBHE_BA2S_P1_202105_42,51.19047619,0.285714286,43.0952381,1.428571429,3.857142857,0.142857143,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,1,CB,84095,17885,202105
CBHE_BA2S_P1_202205_42,52.95238095,0.095238095,43.19047619,0.571428571,3.142857143,0.047619048,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,1,CB,84873,17885,202205
CBHE_BA2S_P1_202305_42,46.95238095,0.0,46.66666667,1.476190476,4.571428571,0.333333333,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,1,CB,86217,17885,202305
CBHE_BA2S_P2_202105_42,47.13333333,0.466666667,47.4,0.733333333,4.2,0.066666667,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,2,CB,84096,17885,202105
CBHE_BA2S_P2_202205_42,49.80952381,0.333333333,44.0952381,1.285714286,4.476190476,0.0,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,2,CB,84874,17885,202205
CBHE_BA2S_P2_202305_42,54.71428571,0.380952381,39.23809524,0.952380952,4.619047619,0.095238095,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,2,CB,86218,17885,202305
CBHE_BA2S_P3_202105_42,41.25714286,0.171428571,54.68571429,0.857142857,2.971428571,0.057142857,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,3,CB,84097,17885,202105
CBHE_BA2S_P3_202205_42,48.58536585,0.195121951,47.95121951,0.829268293,2.43902439,0.0,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,3,CB,84875,17885,202205
CBHE_BA2S_P3_202305_42,50.47619048,0.380952381,45.33333333,0.761904762,3.047619048,0.0,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,3,CB,86219,17885,202305
CBHE_BA2S_P4_202105_42,41.70731707,0.146341463,54.48780488,1.024390244,2.536585366,0.097560976,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,4,CB,84098,17885,202105
CBHE_BA2S_P4_202205_42,46.66666667,0.19047619,48.38095238,2.285714286,2.428571429,0.047619048,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,4,CB,84876,17885,202205
CBHE_BA2S_P4_202305_42,47.71428571,0.047619048,47.19047619,1.142857143,3.761904762,0.142857143,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,BA2,BA,S,-23.44764618,151.9578134,4,CB,86220,17885,202305
CBHE_FL1S_P1_202105_42,58.52380952,0.047619048,39.23809524,0.857142857,0.714285714,0.619047619,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,1,CB,84099,17885,202105
CBHE_FL1S_P1_202205_42,53.47619048,0.047619048,44.57142857,0.571428571,1.238095238,0.095238095,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,1,CB,84877,17885,202205
CBHE_FL1S_P1_202305_42,43.47619048,0.095238095,52.57142857,2.142857143,1.19047619,0.523809524,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,1,CB,86221,17885,202305
CBHE_FL1S_P2_202105_42,59.14285714,0.19047619,37.23809524,1.857142857,1.523809524,0.047619048,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,2,CB,84100,17885,202105
CBHE_FL1S_P2_202205_42,54.47619048,0.19047619,41.52380952,1.761904762,1.857142857,0.19047619,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,2,CB,84878,17885,202205
CBHE_FL1S_P2_202305_42,55.42857143,0.428571429,38.19047619,2.714285714,2.80952381,0.428571429,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,2,CB,86222,17885,202305
CBHE_FL1S_P3_202105_42,59.71428571,0.095238095,38.76190476,0.904761905,0.523809524,0.0,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FL1,FL,S,-23.44764618,151.9578134,3,CB,84101,17885,202105
