Site,Data_Source,ISO_Date,Year,Month,Day,Temperature
unitless,unitless,unitless,unitless,unitless,unitless,degrees Celsius (degC)
LTER2,LTER2,2005-06-17,2005,6,17,27.18
LTER2,LTER2,2005-06-18,2005,6,18,27.16
LTER2,LTER2,2005-06-19,2005,6,19,27.22
LTER2,LTER2,2005-06-20,2005,6,20,27.28
LTER2,LTER2,2005-06-21,2005,6,21,27.22
LTER2,LTER2,2005-06-22,2005,6,22,27.21
LTER2,LTER2,2005-06-23,2005,6,23,27.2
LTER2,LTER2,2005-06-24,2005,6,24,27.15
LTER2,LTER2,2005-06-25,2005,6,25,27.09
LTER2,LTER2,2005-06-26,2005,6,26,27.04
LTER2,LTER2,2005-06-27,2005,6,27,27.17
LTER2,LTER2,2005-06-28,2005,6,28,27.2
LTER2,LTER2,2005-06-29,2005,6,29,27.1
LTER2,LTER2,2005-06-30,2005,6,30,27.09
LTER2,LTER2,2005-07-01,2005,7,1,27.11
LTER2,LTER2,2005-07-02,2005,7,2,27.15
LTER2,LTER2,2005-07-03,2005,7,3,27.13
LTER2,LTER2,2005-07-04,2005,7,4,27.11
LTER2,LTER2,2005-07-05,2005,7,5,27.09
LTER2,LTER2,2005-07-06,2005,7,6,27.13
LTER2,LTER2,2005-07-07,2005,7,7,27.08
LTER2,LTER2,2005-07-08,2005,7,8,27
LTER2,LTER2,2005-07-09,2005,7,9,27.02
LTER2,LTER2,2005-07-10,2005,7,10,27.04
LTER2,LTER2,2005-07-11,2005,7,11,27.06
LTER2,LTER2,2005-07-12,2005,7,12,26.98
LTER2,LTER2,2005-07-13,2005,7,13,26.98
LTER2,LTER2,2005-07-14,2005,7,14,26.99
LTER2,LTER2,2005-07-15,2005,7,15,26.97
LTER2,LTER2,2005-07-16,2005,7,16,26.92
LTER2,LTER2,2005-07-17,2005,7,17,26.88
LTER2,LTER2,2005-07-18,2005,7,18,26.79
LTER2,LTER2,2005-07-19,2005,7,19,26.68
LTER2,LTER2,2005-07-20,2005,7,20,26.54
LTER2,LTER2,2005-07-21,2005,7,21,26.79
LTER2,LTER2,2005-07-22,2005,7,22,26.71
LTER2,LTER2,2005-07-23,2005,7,23,26.62
LTER2,LTER2,2005-07-24,2005,7,24,26.65
LTER2,LTER2,2005-07-25,2005,7,25,26.79
LTER2,LTER2,2005-07-26,2005,7,26,26.68
LTER2,LTER2,2005-07-27,2005,7,27,26.82
LTER2,LTER2,2005-07-28,2005,7,28,26.8
LTER2,LTER2,2005-07-29,2005,7,29,26.81
LTER2,LTER2,2005-07-30,2005,7,30,26.69
LTER2,LTER2,2005-07-31,2005,7,31,26.61
LTER2,LTER2,2005-08-01,2005,8,1,26.57
LTER2,LTER2,2005-08-02,2005,8,2,26.62
LTER2,LTER2,2005-08-03,2005,8,3,26.73
LTER2,LTER2,2005-08-04,2005,8,4,26.76
LTER2,LTER2,2005-08-05,2005,8,5,26.77
LTER2,LTER2,2005-08-06,2005,8,6,26.74
LTER2,LTER2,2005-08-07,2005,8,7,26.74
LTER2,LTER2,2005-08-08,2005,8,8,26.84
LTER2,LTER2,2005-08-09,2005,8,9,26.88
LTER2,LTER2,2005-08-10,2005,8,10,26.84
